cwe_id,cwe_name,cwe_description
CWE-79,Improper Neutralization of Input During Web Page Generation,Cross-site Scripting (XSS)
CWE-89,Improper Neutralization of Special Elements used in an SQL Command,SQL Injection
CWE-78,Improper Neutralization of Special Elements used in an OS Command,OS Command Injection
CWE-20,Improper Input Validation,Input Validation
CWE-22,Improper Limitation of a Pathname to a Restricted Directory,Path Traversal
CWE-125,Out-of-bounds Read,Memory Safety
CWE-787,Out-of-bounds Write,Memory Safety
CWE-416,Use After Free,Memory Safety
CWE-476,NULL Pointer Dereference,Memory Safety
CWE-190,Integer Overflow or Wraparound,Integer Handling
CWE-119,Improper Restriction of Operations within the Bounds of a Memory Buffer,Buffer Overflow
CWE-94,Improper Control of Generation of Code,Code Injection
CWE-269,Improper Privilege Management,Privilege Escalation
CWE-352,Cross-Site Request Forgery (CSRF),CSRF
CWE-287,Improper Authentication,Authentication Bypass
CWE-434,Unrestricted Upload of File with Dangerous Type,File Upload
CWE-918,Server-Side Request Forgery (SSRF),SSRF
CWE-502,Deserialization of Untrusted Data,Deserialization
CWE-77,Improper Neutralization of Special Elements used in a Command,Command Injection
CWE-400,Uncontrolled Resource Consumption,DoS
CWE-200,Exposure of Sensitive Information to an Unauthorized Actor,Information Disclosure
CWE-306,Missing Authentication for Critical Function,Authentication
CWE-862,Missing Authorization,Authorization
CWE-863,Incorrect Authorization,Authorization
CWE-120,Buffer Copy without Checking Size of Input,Buffer Overflow
CWE-122,Heap-based Buffer Overflow,Buffer Overflow
CWE-121,Stack-based Buffer Overflow,Buffer Overflow
CWE-835,Loop with Unreachable Exit Condition,Infinite Loop
CWE-798,Use of Hard-coded Credentials,Hardcoded Credentials
CWE-noinfo,No CWE Information Available,Unknown
CWE-78,Improper Neutralization of Special Elements used in an OS Command,OS Command Injection
CWE-20,Improper Input Validation,Input Validation
CWE-22,Improper Limitation of a Pathname to a Restricted Directory,Path Traversal
CWE-125,Out-of-bounds Read,Memory Safety
CWE-787,Out-of-bounds Write,Memory Safety
CWE-416,Use After Free,Memory Safety
CWE-476,NULL Pointer Dereference,Memory Safety
CWE-190,Integer Overflow or Wraparound,Integer Handling
